#gene_id	isoform_psi_value
ENSMUSG00000054770	ENSMUST00000164963:0,ENSMUST00000114410:0,ENSMUST00000161608:0,ENSMUST00000163061:0,ENSMUST00000159826:0,ENSMUST00000160614:0,ENSMUST00000163006:0,ENSMUST00000068000:0,ENSMUST00000189298:0,ENSMUST00000162410:0,ENSMUST00000160130:0
ENSMUSG00000026039	ENSMUST00000027202:0.858139609173457,ENSMUST00000190746:0.14186039082654311
ENSMUSG00000063558	ENSMUST00000001027:0.9229038069438483,ENSMUST00000160168:0.07709619305615166
ENSMUSG00000064294	ENSMUST00000161549:0.08641145833339173,ENSMUST00000040999:0.7125893296838356,ENSMUST00000159014:0.003597599658555899,ENSMUST00000162011:0.0010925805167400263,ENSMUST00000160815:0.19630903180747683
ENSMUSG00000089275	ENSMUST00000158650:0
ENSMUSG00000038242	ENSMUST00000040442:0,ENSMUST00000161833:0,ENSMUST00000159240:0,ENSMUST00000189059:0,ENSMUST00000161926:0
ENSMUSG00000089822	ENSMUST00000161126:0
ENSMUSG00000079554	ENSMUST00000114366:1.0
ENSMUSG00000103839	ENSMUST00000194925:1.0
ENSMUSG00000051223	ENSMUST00000050552:0.8652827333771557,ENSMUST00000188898:0.0,ENSMUST00000188630:0.11549799046896807,ENSMUST00000186949:0.019219276153876214
ENSMUSG00000026034	ENSMUST00000156931:0.004042067146632258,ENSMUST00000139787:0.24379745618839943,ENSMUST00000141570:0.08212046442661859,ENSMUST00000123580:0.09914606280436344,ENSMUST00000034868:0.017154596513211447,ENSMUST00000148330:0.014798501729091378,ENSMUST00000151338:0.1279922090139119,ENSMUST00000129303:0.0625774065493219,ENSMUST00000186552:0.06639758934781852,ENSMUST00000135380:0.0,ENSMUST00000129577:0.13165723407358648,ENSMUST00000131051:0.036401391279203665,ENSMUST00000147258:0.11391502092784106
ENSMUSG00000026035	ENSMUST00000117069:0.11465843548098248,ENSMUST00000114348:0.09533125658166565,ENSMUST00000081677:0.0,ENSMUST00000186242:0.6299405678563155,ENSMUST00000114345:0.06842152728584672,ENSMUST00000190048:0.034752355419309024,ENSMUST00000185990:0.0,ENSMUST00000124550:0.030298660322370028,ENSMUST00000188896:0.026597197053510685
ENSMUSG00000026036	ENSMUST00000087521:0.04115096723805601,ENSMUST00000114337:0.09783435386968811,ENSMUST00000129759:0.0,ENSMUST00000151272:0.0,ENSMUST00000171597:0.40449849237136404,ENSMUST00000140723:0.0,ENSMUST00000185578:0.041028591196558016,ENSMUST00000188295:0.41548759532433366
