#gene_id	cnt
ENSMUSG00000000889	0.0
ENSMUSG00000001415	580.065
ENSMUSG00000001416	1927.909
ENSMUSG00000001418	783.488
ENSMUSG00000001420	20.802
ENSMUSG00000001962	0.0
ENSMUSG00000001964	0.0
ENSMUSG00000002006	0.0
ENSMUSG00000002007	0.0
ENSMUSG00000002010	0.0
ENSMUSG00000002012	0.0
ENSMUSG00000002014	0.0
ENSMUSG00000002015	0.0
ENSMUSG00000004221	0.458
ENSMUSG00000008601	9.357
ENSMUSG00000008604	382.651
ENSMUSG00000008682	0.0
ENSMUSG00000009214	0.0
ENSMUSG00000009216	0.721
ENSMUSG00000009614	4553.422
ENSMUSG00000009621	153.322
ENSMUSG00000009995	0.0
ENSMUSG00000010538	64.966
ENSMUSG00000014852	22.925
ENSMUSG00000014867	2743.21
ENSMUSG00000014873	89.805
ENSMUSG00000015289	1.655
ENSMUSG00000015290	0.0
ENSMUSG00000015291	0.81
ENSMUSG00000015488	447.546
ENSMUSG00000015776	171.445
ENSMUSG00000015787	0.0
ENSMUSG00000015790	802.085
ENSMUSG00000019087	0.0
ENSMUSG00000019088	0.0
ENSMUSG00000019558	0.0
ENSMUSG00000026028	293.753
ENSMUSG00000026029	330.804
ENSMUSG00000026031	957.046
ENSMUSG00000026032	844.209
ENSMUSG00000026034	647.703
ENSMUSG00000026035	153.77
ENSMUSG00000026036	185.102
ENSMUSG00000026037	58.641
ENSMUSG00000026039	0.667
ENSMUSG00000026917	4.065
ENSMUSG00000026918	147.345
ENSMUSG00000026919	0.0
ENSMUSG00000028049	0.0
ENSMUSG00000028051	0.0
ENSMUSG00000028053	17.58
ENSMUSG00000028057	196.011
ENSMUSG00000028059	28.9
ENSMUSG00000028060	457.314
ENSMUSG00000028062	957.111
ENSMUSG00000028063	314.816
ENSMUSG00000028064	788.765
ENSMUSG00000028066	71.125
ENSMUSG00000031328	0.0
ENSMUSG00000031378	0.468
ENSMUSG00000031385	0.0
ENSMUSG00000031386	0.0
ENSMUSG00000031387	0.0
ENSMUSG00000031388	0.0
ENSMUSG00000031389	0.0
ENSMUSG00000031390	0.0
ENSMUSG00000031391	0.0
ENSMUSG00000031392	0.0
ENSMUSG00000031393	0.0
ENSMUSG00000031394	0.0
ENSMUSG00000031397	0.0
ENSMUSG00000031398	0.0
ENSMUSG00000031399	0.0
ENSMUSG00000031400	0.0
ENSMUSG00000032657	0.0
ENSMUSG00000032806	0.0
ENSMUSG00000036040	94.119
ENSMUSG00000036067	6.683
ENSMUSG00000036160	149.928
ENSMUSG00000038174	38.709
ENSMUSG00000038242	0.0
ENSMUSG00000041237	0.0
ENSMUSG00000041263	0.0
ENSMUSG00000041355	2081.361
ENSMUSG00000041423	1.739
ENSMUSG00000043715	0.0
