#gene_id	isoform_psi_value
ENSMUSG00000014873	ENSMUST00000015017:1.689319003883492e-05,ENSMUST00000126947:0.0,ENSMUST00000125408:2.109056244377674e-06,ENSMUST00000135506:0.3453686125341107,ENSMUST00000157066:0.6546123852196061,ENSMUST00000143098:0.0
ENSMUSG00000014867	ENSMUST00000015011:0.6444055115122415,ENSMUST00000153641:0.3555944884877586,ENSMUST00000154651:0.0
ENSMUSG00000049897	ENSMUST00000153771:0.0,ENSMUST00000055406:1.0
ENSMUSG00000052406	ENSMUST00000064244:0.40084003297159837,ENSMUST00000114020:0.016626541316892673,ENSMUST00000123126:0.046771145554911665,ENSMUST00000145546:0.12668677737607584,ENSMUST00000136710:0.0,ENSMUST00000139635:0.045764887115908114,ENSMUST00000135752:0.12716644108457717,ENSMUST00000128130:0.07055477689306283,ENSMUST00000128401:0.1655893976869734
ENSMUSG00000014852	ENSMUST00000014996:0.8975833725759307,ENSMUST00000102891:0.016773367158805876,ENSMUST00000147216:0.08564326026526341
ENSMUSG00000015488	ENSMUST00000114005:0.05450042402186602,ENSMUST00000114004:0.12194561821995013,ENSMUST00000114006:0.0014195182207327704,ENSMUST00000114007:0.6946980114400365,ENSMUST00000133126:0.0,ENSMUST00000133807:0.043122096288909735,ENSMUST00000114003:0.050235559345542045,ENSMUST00000145290:0.034078772462962655
ENSMUSG00000036067	ENSMUST00000102890:0,ENSMUST00000145742:0,ENSMUST00000129835:0,ENSMUST00000045702:0,ENSMUST00000135725:0,ENSMUST00000153388:0
ENSMUSG00000083335	ENSMUST00000119562:0
ENSMUSG00000087364	ENSMUST00000149378:0
ENSMUSG00000009214	ENSMUST00000009358:0,ENSMUST00000163967:0
ENSMUSG00000036040	ENSMUST00000091233:0.35818698917503605,ENSMUST00000169787:0.14400602051515082,ENSMUST00000143246:0.0,ENSMUST00000130600:0.16550029746888914,ENSMUST00000139633:0.3323066928409241
ENSMUSG00000009216	ENSMUST00000151224:1.0
ENSMUSG00000085008	ENSMUST00000150024:0
ENSMUSG00000000889	ENSMUST00000000910:0,ENSMUST00000155290:0
ENSMUSG00000009614	ENSMUST00000091224:0.0028842084014782917,ENSMUST00000102886:0.35793703556393347,ENSMUST00000142136:0.017096637178612418,ENSMUST00000156434:0.3298710930786154,ENSMUST00000127805:0.07772855174053368,ENSMUST00000147089:0.0031391334566908636,ENSMUST00000144448:0.18424916557462176,ENSMUST00000149733:0.02353811454788099,ENSMUST00000139312:0.003556060457633012,ENSMUST00000129975:0.0
ENSMUSG00000091192	ENSMUST00000170435:1.0
ENSMUSG00000009621	ENSMUST00000185188:0.36889201166602303,ENSMUST00000056176:0.41537222105296373,ENSMUST00000149758:0.038028224359344796,ENSMUST00000148067:0.051642015749749186,ENSMUST00000146843:0.12606552717191918,ENSMUST00000135584:0.0,ENSMUST00000132642:0.0
ENSMUSG00000086669	ENSMUST00000156020:1.0
ENSMUSG00000076364	ENSMUST00000102409:1.0
ENSMUSG00000109946	ENSMUST00000209765:1.0,ENSMUST00000209262:0.0
ENSMUSG00000026918	ENSMUST00000028282:0.06373805885367675,ENSMUST00000077737:0.4579600021191415,ENSMUST00000113941:0.004770323785437646,ENSMUST00000164296:0.03658762316516276,ENSMUST00000138693:0.0,ENSMUST00000154316:0.0,ENSMUST00000130932:0.04514498313918988,ENSMUST00000147736:0.17458566784174914,ENSMUST00000144758:0.21721334109564228,ENSMUST00000126059:0.0
ENSMUSG00000098812	ENSMUST00000183455:1.0
ENSMUSG00000026917	ENSMUST00000144315:0.0,ENSMUST00000113952:0.0,ENSMUST00000140396:0.0,ENSMUST00000125088:1.0
ENSMUSG00000080538	ENSMUST00000116888:0
ENSMUSG00000085929	ENSMUST00000142511:0,ENSMUST00000132898:0
ENSMUSG00000097280	ENSMUST00000181021:1.0
ENSMUSG00000097428	ENSMUST00000181406:0,ENSMUST00000180555:0
ENSMUSG00000097156	ENSMUST00000181134:0.0,ENSMUST00000181550:1.0,ENSMUST00000180582:0.0,ENSMUST00000181636:0.0,ENSMUST00000181356:0.0,ENSMUST00000181396:0.0,ENSMUST00000181622:0.0,ENSMUST00000180635:0.0,ENSMUST00000180984:0.0,ENSMUST00000180478:0.0,ENSMUST00000181361:0.0
ENSMUSG00000092988	ENSMUST00000175247:0
ENSMUSG00000092876	ENSMUST00000175135:0
ENSMUSG00000106493	ENSMUST00000199907:0
ENSMUSG00000104445	ENSMUST00000171887:1.0
ENSMUSG00000103766	ENSMUST00000165196:0.703244852402521,ENSMUST00000163277:0.2967551475974789
ENSMUSG00000010538	ENSMUST00000107556:0.2779506610447328,ENSMUST00000010682:0.6257721980464285,ENSMUST00000123536:0.09627714090883868
ENSMUSG00000103574	ENSMUST00000195161:1.0
ENSMUSG00000001416	ENSMUST00000001452:0.04788330612140469,ENSMUST00000193666:0.0030246047862136673,ENSMUST00000167000:0.1754868131864298,ENSMUST00000164783:0.002038972405784942,ENSMUST00000167718:0.2083927623459224,ENSMUST00000164166:0.4057041637397122,ENSMUST00000168062:1.1864561218019927e-07,ENSMUST00000163735:0.03450218480863466,ENSMUST00000164122:0.12296707396028549,ENSMUST00000168971:0.0
ENSMUSG00000001418	ENSMUST00000177005:0.016455465801711016,ENSMUST00000193646:0.24491721020304044,ENSMUST00000153716:0.025872199721588336,ENSMUST00000152801:0.0,ENSMUST00000131666:0.0,ENSMUST00000176519:0.0,ENSMUST00000001454:0.0,ENSMUST00000176425:0.0,ENSMUST00000140039:0.016202718379326273,ENSMUST00000154381:0.696552405894334
ENSMUSG00000001420	ENSMUST00000001456:0.0,ENSMUST00000107553:0.0,ENSMUST00000107552:0.13215349698941534,ENSMUST00000193872:0.8678465030105846
ENSMUSG00000001415	ENSMUST00000001451:0.4260652337254063,ENSMUST00000192057:0.084336237473854,ENSMUST00000194942:0.029063470725444854,ENSMUST00000193007:0.0,ENSMUST00000192009:0.17632282790502476,ENSMUST00000193097:0.10109249208520638,ENSMUST00000192377:0.036806020539769585,ENSMUST00000193224:0.05357840889725249,ENSMUST00000194359:0.09273530864804162
ENSMUSG00000041423	ENSMUST00000147948:0.0,ENSMUST00000147991:0.0,ENSMUST00000149640:0.0,ENSMUST00000123200:1.0,ENSMUST00000147818:0.0
ENSMUSG00000074489	ENSMUST00000107543:0.1717983396388756,ENSMUST00000152477:0.554334183206291,ENSMUST00000140259:0.0,ENSMUST00000075523:0.0,ENSMUST00000107542:0.27386747715483334
ENSMUSG00000096792	ENSMUST00000179946:1.0
ENSMUSG00000074486	ENSMUST00000098956:0
ENSMUSG00000078691	ENSMUST00000107540:0
ENSMUSG00000074483	ENSMUST00000076048:0,ENSMUST00000128732:0
